Updated 09/18/25 at 06:03pm,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
Charlie Kolar,TE80,TE,BAL,389,26.6,No,TE75,394,,0
Tyler Huntley,QB58,QB,BAL,384,27.6,No,QB64,719,,0
Mason Rudolph,QB66,QB,PIT,381,30.2,No,QB63,734,,0
Gardner Minshew,QB68,QB,KCC,373,29.3,No,QB60,866,,0
Jaelon Darden,WR201,WR,FA,368,26.7,No,WR191,371,,0
Chris Evans,RB142,RB,FA,366,28.0,No,RB130,370.99,,0
A.T. Perry,WR205,WR,FA,350,25.9,No,WR187,413.99,,0
Ben Skowronek,WR206,WR,PIT,348,28.2,No,WR190,383.99,,0
Marcus Mariota,QB69,QB,WAS,341,31.9,No,QB55,989,,0
Kyle McCord,QB70,QB,PHI,251,23.0,Yes,QB61,822,,0
Tyson Bagent,QB73,QB,CHI,230,25.3,No,QB49,1082,,0
Tyrod Taylor,QB74,QB,NYJ,221,36.1,No,QB65,489,,0
Davis Mills,QB75,QB,HOU,220.99,26.9,No,QB67,386,,0
Stetson Bennett,QB76,QB,LAR,217,27.9,No,QB62,776,,0
Jimmy Garoppolo,QB95,QB,LAR,92,33.9,No,QB57,958,,0
