Updated 09/18/25 at 06:03pm,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
Tre Tucker,WR88,WR,LVR,2354,24.5,No,WR84,2140,,0
Hunter Henry,TE32,TE,NEP,2351,30.8,No,TE33,1996,,0
2026 Late 3rd,,PI,,2346,,,,2077,,0
Jerome Ford,RB68,RB,CLE,2332,26.0,No,RB69,1852,,0
KeAndre Lambert-Smith,WR89,WR,LAC,2310,23.9,Yes,WR93,1885,,0
Isaac Guerendo,RB69,RB,SFO,2295,25.2,No,RB64,1941,,0
Malik Washington,WR90,WR,MIA,2289,24.7,No,WR89,1995.99,,0
Ben Sinnott,TE33,TE,WAS,2284,23.3,No,TE34,1963,,0
Cole Kmet,TE34,TE,CHI,2276,26.5,No,TE32,1998,,0
Daniel Jones,QB31,QB,IND,2261,28.3,No,QB25,3570,,0
2027 Late 3rd,,PI,,2240,,,,1970,,0
Dyami Brown,WR91,WR,JAC,2222,25.9,No,WR92,1913,,0
Roman Wilson,WR92,WR,PIT,2215,24.2,No,WR95,1837,,0
Rico Dowdle,RB70,RB,CAR,2210,27.3,No,RB74,1755,,0
Jordan James,RB71,RB,SFO,2185,21.5,Yes,RB72,1794,,0
Roschon Johnson,RB72,RB,CHI,2171,24.6,No,RB77,1668,,0
Michael Wilson,WR93,WR,ARI,2158,25.6,No,WR94,1861,,0
Sean Tucker,RB73,RB,TBB,2148,23.9,No,RB70,1819,,0
Isaiah Bond,WR94,WR,CLE,2133,21.5,Yes,WR90,1926,,0
Tyquan Thornton,WR95,WR,KCC,2123,25.1,No,WR91,1915,,0
LeQuint Allen,RB74,RB,JAC,2100,21.1,Yes,RB71,1808,,0
2028 Mid 3rd,,PI,,2097,,,,1934,,0
MarShawn Lloyd,RB75,RB,GBP,2092,24.7,No,RB76,1732,,0
Jalen Nailor,WR96,WR,MIN,2078,26.6,No,WR96,1818.99,,0
Kenneth Gainwell,RB76,RB,PIT,2071,26.5,No,RB73,1758,,0
Dalton Schultz,TE35,TE,HOU,2068,29.2,No,TE35,1813,,0
Savion Williams,WR97,WR,GBP,2059,23.8,Yes,WR100,1703,,0
Chris Rodriguez,RB77,RB,WAS,2046,25.0,No,RB75,1737,,0
2028 Late 3rd,,PI,,2026,,,,1814,,0
Shedeur Sanders,QB32,QB,CLE,1984,23.6,Yes,QB37,2052,,0
Oronde Gadsden,TE36,TE,LAC,1981,22.2,Yes,TE36,1731.99,,0
Jahan Dotson,WR98,WR,PHI,1978,25.5,No,WR99,1712,,0
Luke Musgrave,TE37,TE,GBP,1975,25.0,No,TE40,1665,,0
Andrei Iosivas,WR99,WR,CIN,1973,25.9,No,WR102,1658,,0
Jaylin Lane,WR100,WR,WAS,1964,23.4,Yes,WR97,1812.99,,0
Noah Fant,TE38,TE,CIN,1948,27.8,No,TE37,1697,,0
Chimere Dike,WR101,WR,TEN,1927,23.8,Yes,WR104,1626,,0
DeAndre Hopkins,WR102,WR,BAL,1924,33.3,No,WR98,1765,,0
2026 Early 4th,,PI,,1912,,,,1744,,0
Noah Gray,TE39,TE,KCC,1911.99,26.4,No,TE41,1636,,0
Jordan Whittington,WR103,WR,LAR,1908,25.0,No,WR107,1591,,0
Parker Washington,WR104,WR,JAC,1901,23.5,No,WR101,1694,,0
Gunnar Helm,TE40,TE,TEN,1899,23.0,Yes,TE39,1680,,0
2027 Early 4th,,PI,,1889,,,,1664,,0
AJ Barner,TE41,TE,SEA,1887,23.4,No,TE38,1687,,0
Isaiah Davis,RB78,RB,NYJ,1883,23.6,No,RB78,1593,,0
Jimmy Horn,WR105,WR,CAR,1874,23.0,Yes,WR103,1632,,0
Justice Hill,RB79,RB,BAL,1873,27.8,No,RB79,1590,,0
Elijah Moore,WR106,WR,BUF,1846,25.5,No,WR105,1590.99,,0
Mike Gesicki,TE42,TE,CIN,1833,30.0,No,TE43,1481,,0
Kareem Hunt,RB80,RB,KCC,1803,30.1,No,RB80,1577,,0
Xavier Hutchinson,WR107,WR,HOU,1800,25.3,No,WR106,1590.98,,0
Adam Thielen,WR108,WR,MIN,1797,35.1,No,WR109,1541,,0
Tyler Shough,QB33,QB,NOS,1793,26.0,Yes,QB39,1946,,0
Dawson Knox,TE43,TE,BUF,1791,28.8,No,TE42,1614,,0
Darius Slayton,WR109,WR,NYG,1779,28.7,No,WR108,1547,,0
Jermaine Burton,WR110,WR,CIN,1773,24.2,No,WR116,1428,,0
2026 Mid 4th,,PI,,1756,,,,1667,,0
Luke McCaffrey,WR111,WR,WAS,1755.99,24.5,No,WR111,1502,,0
Jake Browning,QB34,QB,CIN,1729,29.4,No,QB31,2589,,0
Dameon Pierce,RB81,RB,HOU,1728,25.6,No,RB81,1483,,0
2027 Mid 4th,,PI,,1724,,,,1601,,0
Tai Felton,WR112,WR,MIN,1720,22.5,Yes,WR115,1435,,0
Tez Johnson,WR113,WR,TBB,1712,23.3,Yes,WR114,1450,,0
Jalin Hyatt,WR114,WR,NYG,1700,24.0,No,WR118,1422,,0
Joe Milton,QB35,QB,DAL,1688,25.5,No,QB40,1743.99,,0
2028 Early 4th,,PI,,1666,,,,1480,,0
Jalen Tolbert,WR115,WR,DAL,1665,26.6,No,WR113,1467,,0
Kalel Mullings,RB82,RB,TEN,1658,23.0,Yes,RB84,1360,,0
Devaughn Vele,WR116,WR,NOS,1656,27.8,No,WR117,1423,,0
Miles Sanders,RB83,RB,DAL,1654,28.4,No,RB82,1405,,0
Tutu Atwell,WR117,WR,LAR,1653,26.0,No,WR122,1357,,0
Efton Chism,WR118,WR,NEP,1652,23.9,Yes,WR110,1535,,0
John Metchie,WR119,WR,PHI,1639,25.2,No,WR124,1352,,0
Emanuel Wilson,RB84,RB,GBP,1638,26.4,No,RB83,1380,,0
Russell Wilson,QB36,QB,NYG,1629,36.8,No,QB35,2215,,0
2026 Late 4th,,PI,,1628,,,,1581,,0
Trey Palmer,WR120,WR,NOS,1623,24.5,No,WR127,1299,,0
Devontez Walker,WR121,WR,BAL,1622,24.2,No,WR119,1421,,0
Dillon Gabriel,QB37,QB,CLE,1612,24.7,Yes,QB38,1969.99,,0
Hunter Renfrow,WR122,WR,CAR,1602,29.7,No,WR112,1474,,0
Ray-Ray McCloud,WR123,WR,ATL,1587,28.9,No,WR121,1398,,0
Jaleel McLaughlin,RB85,RB,DEN,1585,25.0,No,RB86,1319,,0
Damien Martinez,RB86,RB,SEA,1575,21.6,Yes,RB88,1279,,0
2027 Late 4th,,PI,,1541,,,,1429,,0
Olamide Zaccheaus,WR124,WR,CHI,1520,28.2,No,WR120,1397.99,,0
Cade Stover,TE44,TE,HOU,1518,25.3,No,TE45,1282,,0
2028 Mid 4th,,PI,,1512,,,,1396,,0
Spencer Rattler,QB38,QB,NOS,1508,25.0,No,QB32,2408,,0
Mac Jones,QB39,QB,SFO,1507,27.0,No,QB36,2118,,0
Aaron Rodgers,QB40,QB,PIT,1506,41.8,No,QB34,2256.99,,0
Will Howard,QB41,QB,PIT,1486,24.0,Yes,QB42,1627,,0
Jacob Cowing,WR125,WR,SFO,1481,24.6,No,WR126,1300,,0
Raheim Sanders,RB87,RB,CLE,1480,23.3,Yes,RB85,1334,,0
Xavier Restrepo,WR126,WR,TEN,1473,23.4,Yes,WR128,1293,,0
Ty Johnson,RB88,RB,BUF,1472,28.0,No,RB87,1290,,0
Tahj Washington,WR127,WR,MIA,1469,24.3,No,WR130,1281.99,,0
Ja'Lynn Polk,WR128,WR,NOS,1467,23.4,No,WR125,1327,,0
JuJu Smith-Schuster,WR129,WR,KCC,1456,28.8,No,WR123,1355,,0
Tyler Goodson,RB89,RB,IND,1438,24.8,No,RB89,1265,,0
Audric Estime,RB90,RB,PHI,1414,22.0,No,RB93,1175,,0
Jordan Watkins,WR130,WR,SFO,1410,23.6,Yes,WR132,1263,,0
2028 Late 4th,,PI,,1406,,,,1194,,0
Antonio Gibson,RB91,RB,NEP,1400,27.2,No,RB90,1255,,0
Jake Tonges,TE45,TE,SFO,1395,26.2,No,TE44,1329,,0
Erick All,TE47,TE,CIN,1392,25.0,No,TE48,1233,,0
Will Dissly,TE46,TE,LAC,1391.99,29.2,No,TE50,1221,,0
Noah Brown,WR131,WR,WAS,1390,29.7,No,WR131,1262.99,,0
Darnell Washington,TE48,TE,PIT,1380,24.1,No,TE46,1260,,0
KaVontae Turpin,WR132,WR,DAL,1379,29.1,No,WR129,1288,,0
Phil Mafah,RB92,RB,DAL,1378,22.9,Yes,RB92,1213,,0
Tyler Conklin,TE49,TE,LAC,1362,30.1,No,TE47,1237,,0
Elijah Mitchell,RB93,RB,KCC,1360,27.4,No,RB91,1222,,0
Quinn Ewers,QB42,QB,MIA,1318,22.4,Yes,QB44,1437,,0
Nick Westbrook-Ikhine,WR133,WR,MIA,1314,28.5,No,WR136,1172,,0
Luke Schoonmaker,TE50,TE,DAL,1300,27.0,No,TE51,1137,,0
Kendrick Bourne,WR134,WR,SFO,1297,30.1,No,WR137,1167,,0
Curtis Samuel,WR135,WR,BUF,1293,29.1,No,WR135,1173,,0
Gabriel Davis,WR136,WR,BUF,1291,26.5,No,WR139,1095,,0
Tyler Higbee,TE51,TE,LAR,1282,32.7,No,TE49,1226,,0
Javon Baker,WR137,WR,PHI,1280,23.6,No,WR146,1015,,0
Elijah Higgins,TE52,TE,ARI,1268,24.9,No,TE53,1111,,0
Donovan Edwards,RB94,RB,WAS,1263,22.6,Yes,RB96,1096,,0
Tyler Lockett,WR138,WR,TEN,1262.99,33.0,No,WR140,1090,,0
Arian Smith,WR139,WR,NYJ,1253,23.9,Yes,WR133,1179,,0
Devin Singletary,RB95,RB,NYG,1252,28.0,No,RB94,1144,,0
Greg Dortch,WR140,WR,ARI,1251,27.3,No,WR134,1174.99,,0
Daniel Bellinger,TE53,TE,NYG,1250,25.0,No,TE54,1109,,0
Colby Parkinson,TE54,TE,LAR,1215,26.7,No,TE55,1034,,0
Tommy Tremble,TE55,TE,CAR,1207,25.3,No,TE52,1124,,0
Jeremy McNichols,RB96,RB,WAS,1206,29.7,No,RB95,1130,,0
Tyler Badie,RB97,RB,DEN,1196,25.6,No,RB98,1081,,0
Jake Bobo,WR141,WR,SEA,1189,27.1,No,WR144,1033.99,,0
Chris Brooks,RB98,RB,GBP,1181,25.7,No,RB101,1032,,0
Malachi Corley,WR142,WR,CLE,1179,23.5,No,WR142,1077,,0
Jamari Thrash,WR143,WR,CLE,1175,24.8,No,WR138,1120,,0
Zamir White,RB99,RB,LVR,1174,26.0,No,RB97,1088,,0
Rasheen Ali,RB100,RB,BAL,1171,24.6,No,RB102,1030,,0
Jonathan Mingo,WR144,WR,DAL,1161,24.4,No,WR141,1079,,0
AJ Dillon,RB101,RB,PHI,1137,27.4,No,RB100,1038,,0
Konata Mumpfield,WR145,WR,LAR,1135,22.9,Yes,WR145,1025,,0
Jared Wiley,TE56,TE,KCC,1126,24.9,No,TE58,962,,0
Greg Dulcich,TE57,TE,MIA,1121,25.5,No,TE59,957,,0
Josh Reynolds,WR146,WR,NYJ,1117,30.6,No,WR147,998,,0
Bub Means,WR147,WR,NOS,1112,24.7,No,WR158,894,,0
Jameis Winston,QB43,QB,NYG,1109,31.7,No,QB46,1313,,0
Israel Abanikanda,RB102,RB,GBP,1108,23.0,No,RB106,918,,0
Malik Willis,QB44,QB,GBP,1105,26.3,No,QB45,1353,,0
Rondale Moore,WR148,WR,MIN,1101,25.3,No,WR149,983,,0
Brevin Jordan,TE58,TE,HOU,1087,25.2,No,TE56,972,,0
Ty Chandler,RB103,RB,MIN,1083,27.4,No,RB99,1060,,0
Demarcus Robinson,WR149,WR,SFO,1077,31.0,No,WR143,1042,,0
Tyler Johnson,WR150,WR,NYJ,1065,27.1,No,WR148,991,,0
Frank Gore Jr.,RB104,RB,BUF,1053,23.5,No,RB110,851,,0
Skyy Moore,WR151,WR,SFO,1046,25.0,No,WR152,950,,0
Davis Allen,TE59,TE,LAR,1044,24.6,No,TE57,963,,0
Kirk Cousins,QB45,QB,ATL,1042,37.1,No,QB47,1129,,0
Ainias Smith,WR152,WR,CAR,1039,24.3,No,WR154,919,,0
Mason Tipton,WR153,WR,NOS,1035,25.0,No,WR155,913,,0
Julius Chestnut,RB105,RB,TEN,1034,24.9,No,RB107,917,,0
Brandin Cooks,WR154,WR,NOS,1033,32.0,No,WR151,960,,0
Mack Hollins,WR155,WR,NEP,1027,32.0,No,WR153,949,,0
